SMILES,Name,Val
CC[C@@H](CNCCO)Nc1nc2c(c(=O)n(C)c(=O)n2C)n1C,ZINC000004336892,0
CC[C@H](CNCCO)Nc1nc2c(c(=O)n(C)c(=O)n2C)n1C,ZINC000004336893,0
C[C@H]1CN(S(=O)(=O)c2cn(C)c(=O)n(C)c2=O)C[C@H](C)O1,ZINC000004337516,0
C[C@@H]1CN(S(=O)(=O)c2cn(C)c(=O)n(C)c2=O)C[C@@H](C)O1,ZINC000004337521,0
COC(CNS(=O)(=O)c1cn(C)c(=O)n(C)c1=O)OC,ZINC000004337661,0
O=c1[nH]c(=O)n([C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br,ZINC000004342943,0
Cc1c(C)n2c(nc3c2c(=O)n(C)c(=O)n3C)n1CC(N)=O,ZINC000004370673,0
Cc1c(C)n2c3c(nc2n1C[C@H](O)CO)n(C)c(=O)n(C)c3=O,ZINC000004370678,0
Cc1c(C)n2c3c(nc2n1C[C@@H](O)CO)n(C)c(=O)n(C)c3=O,ZINC000004370679,0
C[C@H](O)Cn1c2c(nc1N1CCOCC1)n(C)c(=O)n(C)c2=O,ZINC000004370863,0
C[C@@H](O)Cn1c2c(nc1N1CCOCC1)n(C)c(=O)n(C)c2=O,ZINC000004370864,0
C[C@H](O)Cn1c(NCCN(C)C)nc2c1c(=O)n(C)c(=O)n2C,ZINC000004370889,0
C[C@@H](O)Cn1c(NCCN(C)C)nc2c1c(=O)n(C)c(=O)n2C,ZINC000004370890,0
CN(C)S(=O)(=O)N1CCCN(S(=O)(=O)N(C)C)CC1,ZINC000004388351,0
Cn1c(SCc2nnn[nH]2)nc2c1c(=O)n(C)c(=O)n2C,ZINC000004396149,0
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O,ZINC000004475112,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)NC2CC2)[C@@H](O)[C@H]1O,ZINC000004475116,0
