SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CS(=O)(=O)N1CCN(C(=O)[C@@H]2CCCS2(=O)=O)CC1,ZINC000516934905,OK,310.3970000000001,-1.3325999999999971,0,5,91.83000000000001,2
CC(C)CN1CCO[C@H](CNC(=O)CNC(CO)CO)C1,ZINC000516934993,OK,303.4030000000001,-1.5977999999999957,4,6,94.06,9
CC(C)CN1CCO[C@@H](CNC(=O)CNC(CO)CO)C1,ZINC000516934994,OK,303.4030000000001,-1.5977999999999957,4,6,94.06,9
C[C@@H](C(=O)N[C@H]1CCN(S(C)(=O)=O)C1)N1CCOCC1,ZINC000516936812,OK,305.4000000000001,-1.1427999999999965,1,5,78.95,4
C[C@@H](C(=O)N[C@@H]1CCN(S(C)(=O)=O)C1)N1CCOCC1,ZINC000516936813,OK,305.4000000000001,-1.1427999999999965,1,5,78.95,4
CN[C@H](C)C(=O)N1CCN(S(=O)(=O)N2CCOCC2)CC1,ZINC000516937354,OK,320.41500000000013,-1.6844999999999952,1,5,82.19,4
CN[C@@H](C)C(=O)N1CCN(S(=O)(=O)N2CCOCC2)CC1,ZINC000516937355,OK,320.41500000000013,-1.6844999999999952,1,5,82.19,4
COC(=O)CNC(=O)CNC(=O)CNC(=O)c1ccc(O)cc1,ZINC000516937686,OK,323.305,-1.4725999999999988,4,6,133.82999999999998,7
C[C@@H]1C(=O)NCCN1C(=O)C(=O)N1CCN(C2CC2)C(=O)C1,ZINC000516956219,Filter41_12_dicarbonyl > 0,308.3380000000001,-1.833499999999996,1,4,90.03,1
C[C@H]1C(=O)NCCN1C(=O)C(=O)N1CCN(C2CC2)C(=O)C1,ZINC000516956220,Filter41_12_dicarbonyl > 0,308.3380000000001,-1.833499999999996,1,4,90.03,1
COC(=O)[C@H]1CN(C(=O)C(=O)NCCCNC(C)C)CCO1,ZINC000516960798,Filter41_12_dicarbonyl > 0,315.3700000000001,-1.1088999999999976,2,6,96.97,6
COC(=O)[C@@H]1CN(C(=O)C(=O)NCCCNC(C)C)CCO1,ZINC000516960799,Filter41_12_dicarbonyl > 0,315.3700000000001,-1.1088999999999976,2,6,96.97,6
CC1(C)[C@@H]2CN(C(=O)C(=O)NCC(=O)N3CCNCC3)C[C@H]21,ZINC000516960915,Filter41_12_dicarbonyl > 0,308.3820000000001,-1.3511999999999973,2,4,81.75,2
CC1(C)[C@@H]2CN(C(=O)C(=O)NCC(=O)N3CCNCC3)C[C@@H]21,ZINC000516960916,Filter41_12_dicarbonyl > 0,308.3820000000001,-1.3511999999999973,2,4,81.75,2
CC1(C)[C@H]2CN(C(=O)C(=O)NCC(=O)N3CCNCC3)C[C@@H]21,ZINC000516960917,Filter41_12_dicarbonyl > 0,308.3820000000001,-1.3511999999999973,2,4,81.75,2
CN1C(=O)CC[C@@H](NC(=O)NCCN2C(=O)CCC2=O)C1=O,ZINC000516966921,OK,310.31000000000006,-1.4179999999999986,2,5,115.88999999999999,4
CN1C(=O)CC[C@H](NC(=O)NCCN2C(=O)CCC2=O)C1=O,ZINC000516966922,OK,310.31000000000006,-1.4179999999999986,2,5,115.88999999999999,4
CNC[C@](C)(O)CN1CCN(C(=O)CN2CCOCC2)CC1,ZINC000516974742,OK,314.4300000000001,-1.5667999999999935,2,6,68.28,6
CNC[C@@](C)(O)CN1CCN(C(=O)CN2CCOCC2)CC1,ZINC000516974746,OK,314.4300000000001,-1.5667999999999935,2,6,68.28,6
Cn1ncc2c1nc(N)nc2N1CCN2C(=O)C(=O)NC[C@@H]2C1,ZINC000516981844,Filter41_12_dicarbonyl > 0,316.32500000000005,-1.9074999999999973,2,8,122.26999999999998,1
Cn1ncc2c1nc(N)nc2N1CCN2C(=O)C(=O)NC[C@H]2C1,ZINC000516981845,Filter41_12_dicarbonyl > 0,316.32500000000005,-1.9074999999999973,2,8,122.26999999999998,1
CN(C)c1nc(N)nc(C(=O)NC[C@@H]2CN(C)CCN2C)n1,ZINC000516987251,OK,308.39000000000004,-1.5045999999999966,2,8,103.51,4
CN(C)c1nc(N)nc(C(=O)NC[C@H]2CN(C)CCN2C)n1,ZINC000516987252,OK,308.39000000000004,-1.5045999999999966,2,8,103.51,4
Cn1cc(NC(=O)CNC(=O)c2cccnc2)c(=O)n(C)c1=O,ZINC000516998359,Filter82_pyridinium > 0,317.3050000000001,-1.1524999999999996,2,7,115.09,4
CN(C)CCN(CCN(C)C)C(=O)C(=O)N1CCOCC1,ZINC000517015724,Filter41_12_dicarbonyl > 0,300.4030000000001,-1.2029999999999956,0,5,56.33,6
CCOC(=O)COCCNC(=O)N1CCN(C)C[C@H]1CN,ZINC000517019986,OK,302.37500000000006,-1.149599999999996,2,6,97.12999999999998,7
CCOC(=O)COCCNC(=O)N1CCN(C)C[C@@H]1CN,ZINC000517019987,OK,302.37500000000006,-1.149599999999996,2,6,97.12999999999998,7
Cn1cc(N2CCN(C(=O)C(=O)NC3CNC3)CC2=O)cn1,ZINC000517020307,Filter41_12_dicarbonyl > 0,306.326,-2.3166999999999955,2,6,99.57000000000001,2
COCCN1CCN(C(=O)C(=O)N2CC[C@@H]3CNC[C@@H]32)CC1=O,ZINC000517024096,Filter41_12_dicarbonyl > 0,324.3810000000001,-1.8760999999999952,1,5,82.19,3
CNC[C@@H](C)C(=O)N1CCN(C(=O)CN2C(=O)CCC2=O)CC1,ZINC000517027030,OK,324.3810000000001,-1.3382999999999963,1,5,90.03,5
CNC[C@H](C)C(=O)N1CCN(C(=O)CN2C(=O)CCC2=O)CC1,ZINC000517027033,OK,324.3810000000001,-1.3382999999999963,1,5,90.03,5
NC(=O)[C@H](NC(=O)CN1CCNCC1=O)c1ccc(F)cc1,ZINC000517028442,OK,308.313,-1.0998999999999985,3,4,104.53,5
NC(=O)[C@@H](NC(=O)CN1CCNCC1=O)c1ccc(F)cc1,ZINC000517028443,OK,308.313,-1.0998999999999985,3,4,104.53,5
NS(=O)(=O)CCN1CCN(C(=O)[C@@H]2C[C@]23CCNC3)CC1,ZINC000517028543,OK,316.4270000000001,-1.5812999999999953,2,5,95.74000000000001,4
NS(=O)(=O)CCN1CCN(C(=O)[C@H]2C[C@@]23CCNC3)CC1,ZINC000517028544,OK,316.4270000000001,-1.5812999999999953,2,5,95.74000000000001,4
NS(=O)(=O)CCN1CCN(C(=O)[C@@H]2C[C@@]23CCNC3)CC1,ZINC000517028545,OK,316.4270000000001,-1.5812999999999953,2,5,95.74000000000001,4
NS(=O)(=O)CCN1CCN(C(=O)[C@H]2C[C@]23CCNC3)CC1,ZINC000517028546,OK,316.4270000000001,-1.5812999999999953,2,5,95.74000000000001,4
CC(C)[C@H](N)C(=O)NCC(=O)N1CCO[C@@H](CN(C)C)C1,ZINC000517030914,OK,300.403,-1.125099999999997,2,5,87.89999999999999,6
CC(C)[C@H](N)C(=O)NCC(=O)N1CCO[C@H](CN(C)C)C1,ZINC000517030915,OK,300.403,-1.125099999999997,2,5,87.89999999999999,6
CNS(=O)(=O)N1CCN(C(=O)Cc2ccnn2C)CC1,ZINC000517036060,OK,301.37200000000007,-1.428999999999997,1,5,87.53999999999999,4
CN[C@@H]1CCN(C(=O)C(=O)N[C@@H]2CCN(S(C)(=O)=O)C2)C1,ZINC000517036619,Filter41_12_dicarbonyl > 0,318.3990000000001,-2.043199999999996,2,5,98.82,3
CN[C@H]1CCN(C(=O)C(=O)N[C@H]2CCN(S(C)(=O)=O)C2)C1,ZINC000517036620,Filter41_12_dicarbonyl > 0,318.3990000000001,-2.043199999999996,2,5,98.82,3
CN[C@H]1CCN(C(=O)C(=O)N[C@@H]2CCN(S(C)(=O)=O)C2)C1,ZINC000517036621,Filter41_12_dicarbonyl > 0,318.3990000000001,-2.043199999999996,2,5,98.82,3
CN[C@@H]1CCN(C(=O)C(=O)N[C@H]2CCN(S(C)(=O)=O)C2)C1,ZINC000517036622,Filter41_12_dicarbonyl > 0,318.3990000000001,-2.043199999999996,2,5,98.82,3
COCCN(C)C[C@@H](O)CN1CC(=O)NC[C@@H]1C(=O)OC,ZINC000517038239,OK,303.35900000000004,-2.1010999999999944,2,7,91.34000000000002,8
COCCN(C)C[C@@H](O)CN1CC(=O)NC[C@H]1C(=O)OC,ZINC000517038240,OK,303.35900000000004,-2.1010999999999944,2,7,91.34000000000002,8
COCCN(C)C[C@H](O)CN1CC(=O)NC[C@H]1C(=O)OC,ZINC000517038241,OK,303.35900000000004,-2.1010999999999944,2,7,91.34000000000002,8
COCCN(C)C[C@H](O)CN1CC(=O)NC[C@@H]1C(=O)OC,ZINC000517038242,OK,303.35900000000004,-2.1010999999999944,2,7,91.34000000000002,8
